"","V1"
"1",1.38164753399612
"2",1.26844952994067
"3",1.27073685304636
"4",1.35560906052125
"5",1.31459261669459
"6",1.26938784278469
"7",1.31105818107588
"8",1.37054425346006
"9",1.3157251152181
"10",1.33118943478428
"11",1.2369258637232
"12",1.31126486710182
"13",1.35266104238387
"14",1.3286912473771
"15",1.22135869507256
"16",1.32898403780633
"17",1.35610726844616
"18",1.30354921534001
"19",1.31203849017344
"20",1.37234567307407
"21",1.2781481640427
"22",1.34008036945945
"23",1.39292912915371
"24",1.32980004948245
"25",1.30384178006041
"26",1.32154433488592
"27",1.32341837911502
"28",1.42741578894848
"29",1.27826393577699
"30",1.29861823731739
"31",1.36150881004585
"32",1.31624787024854
"33",1.24332930608847
"34",1.3593313227358
"35",1.29205893374865
"36",1.36012302489823
"37",1.39675584895597
"38",1.41354987641578
"39",1.36616155926911
"40",1.28275588618737
"41",1.32273630568269
"42",1.25866651607939
"43",1.31461643097821
"44",1.43209199098525
"45",1.37390529520972
"46",1.37249198726138
"47",1.32539438610291
"48",1.37584496542092
"49",1.35689095586315
"50",1.39181548847742
"51",1.27364661468608
"52",1.34687343937562
"53",1.44045745481339
"54",1.32204890075776
"55",1.30347935203461
"56",1.2738752426584
"57",1.24980738192203
"58",1.31483203737674
"59",1.29796615999786
"60",1.34219444478292
"61",1.31990567208305
"62",1.41841156876614
"63",1.39971757968192
"64",1.37847023889684
"65",1.27519896007579
"66",1.35645829970488
"67",1.30181957594486
"68",1.27215342883802
"69",1.30290255889021
"70",1.30525170145241
"71",1.38068257718062
"72",1.31778871865443
"73",1.37047304564368
"74",1.36292054465108
"75",1.31093080948748
"76",1.33742877394157
"77",1.3225672649556
"78",1.34353835061537
"79",1.32336192588184
"80",1.28791976408584
"81",1.3252303210805
"82",1.34090477583367
"83",1.28697526345035
"84",1.27196622159729
"85",1.30966960145169
"86",1.26887425864519
"87",1.32338680697826
"88",1.32553468164101
"89",1.30084554553832
"90",1.33040019221675
"91",1.33980067433245
"92",1.42481283642689
"93",1.33994256750307
"94",1.33425766030364
"95",1.35256383451303
"96",1.31443101241723
"97",1.30266322151002
"98",1.3637864148467
"99",1.33832984984513
"100",1.30628768770943
"101",1.37976550475316
"102",1.38034480626195
"103",1.34827831086546
"104",1.32842911931044
"105",1.39496765111598
"106",1.2708752811752
"107",1.41355391972257
"108",1.33625973484404
"109",1.35136591626528
"110",1.26738898827914
"111",1.43356150903308
"112",1.35187733919177
"113",1.3943996153058
"114",1.34368324566481
"115",1.32389529715188
"116",1.38789917111242
"117",1.48849169388138
"118",1.41173349392638
"119",1.24645364956501
"120",1.41791349782111
"121",1.33658890726219
"122",1.38679634035668
"123",1.34672332806446
"124",1.31455112422927
"125",1.31772629378153
"126",1.28144939921911
"127",1.29655097068838
"128",1.31434678738266
"129",1.30230575331936
"130",1.35133293825121
"131",1.26332739686627
"132",1.2881592576524
"133",1.2932323081056
"134",1.40072849931381
"135",1.30415281935671
"136",1.32446362609752
"137",1.25772392712839
"138",1.25454222880233
"139",1.35055102915968
"140",1.39852634535563
"141",1.29129529297426
"142",1.30867793660657
"143",1.29122044756369
"144",1.297420870719
"145",1.36381342842113
"146",1.33304228500603
"147",1.36671523673062
"148",1.37336872435725
"149",1.2781911932378
"150",1.33783909761361
"151",1.32901656325489
"152",1.3682554255525
"153",1.33195815091441
"154",1.43852828623337
"155",1.3941448582458
"156",1.33976108073507
"157",1.34099918538699
"158",1.3171078107688
"159",1.33053621590913
"160",1.31574889742358
"161",1.40189188245125
"162",1.31410168836526
"163",1.36422449486545
"164",1.37694638898375
"165",1.32173598242876
"166",1.42215448486888
"167",1.45164481593577
